Sun Aug  2 18:06:10 2026    evidence\experiments\2026-08-02T150603Z_program11_inmemory_profile.prof

         740152 function calls (700137 primitive calls) in 6.222 seconds

   Ordered by: cumulative time
   List reduced from 87 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    6.327    6.327 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    6.322    6.322 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.015    0.015    6.322    6.322 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
    20000    5.096    0.000    5.104    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:73(children)
    10001    0.075    0.000    2.885    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:64(verify)
        1    0.013    0.013    2.593    2.593 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10001    0.025    0.000    2.577    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:171(verify_non_silent_conflict)
    10000    0.006    0.000    2.573    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
        1    0.001    0.001    0.717    0.717 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:41(replay)
        1    0.045    0.045    0.578    0.578 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:115(_replay_coordination)
     3335    0.020    0.000    0.508    0.000 {built-in method builtins.sorted}
     3333    0.487    0.000    0.487    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:127(<genexpr>)
        1    0.003    0.003    0.115    0.115 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:63(_replay_workflows)
        1    0.085    0.085    0.111    0.111 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:77(_replay_workflows_direct)
        1    0.022    0.022    0.095    0.095 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
    10001    0.016    0.000    0.080    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:270(verify_payload_shape)
    10002    0.014    0.000    0.049    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
    10000    0.004    0.000    0.048    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:46(<lambda>)
120023/100021    0.017    0.000    0.046    0.000 {built-in method builtins.isinstance}
    10001    0.007    0.000    0.044    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:50(_require_keys)
   143341    0.043    0.000    0.043    0.000 {method 'append' of 'list' objects}
30006/10002    0.025    0.000    0.035    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
    10001    0.005    0.000    0.032    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1389(__instancecheck__)
    50002    0.028    0.000    0.028    0.000 {method 'get' of 'dict' objects}
    10001    0.007    0.000    0.026    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1685(__subclasscheck__)
    10001    0.012    0.000    0.022    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:125(verify_causality)
    10001    0.009    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:115(verify_immutability)
    10001    0.010    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:151(verify_closure)
    10001    0.009    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:245(verify_schema)
    10001    0.008    0.000    0.018    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:258(verify_signature)


