participant_id,persona,interface,time_seconds,accuracy,confidence,help_requests
p01,developer,ordinary,390,0.67,2,2
p01,developer,terranode,245,1.00,4,0
p02,developer,ordinary,360,0.83,3,1
p02,developer,terranode,238,1.00,4,0
p03,non_technical,ordinary,455,0.50,2,3
p03,non_technical,terranode,270,0.83,4,1
p04,non_technical,ordinary,470,0.50,1,3
p04,non_technical,terranode,285,0.83,4,1
p05,domain_expert,ordinary,405,0.67,2,2
p05,domain_expert,terranode,252,1.00,5,0
p06,domain_expert,ordinary,420,0.67,2,2
p06,domain_expert,terranode,248,1.00,5,0
